Sexo,Coeficiente,Escola,Enem
F,0.4939,Particular,404.59
M,0.1004,Pública,415.7
M,0.4552,Pública,426.2
M,0.1633,Pública,429.3
M,0.2608,Pública,434.8
M,0.1288,Pública,438.63
M,0.0753,Pública,443.99
M,0.0674,Pública,452.43
F,0.3036,Pública,453.22
F,0,Pública,458.27
F,0.292,Pública,461.97
M,0.0022,Pública,463.1
F,0,Pública,467.28
M,0.4349,Pública,477.14
M,0,Pública,480.48
F,0,Pública,483.98
F,0.3698,Pública,486.37
M,0.0941,Pública,489.77
M,0.2492,Pública,491.02
M,0.0904,Particular,491.3
F,0.3137,Pública,492.6
M,0,Pública,494.2
M,0.4638,Pública,494.38
M,0.3511,Pública,494.59
M,0.5526,Pública,494.98
F,0,Pública,495.17
M,0.5668,Pública,495.3
F,0,Pública,497.04
F,0.7136,Pública,497.36
M,0.4727,Pública,497.77
F,0,Pública,499.19
M,0,Pública,499.49
F,0,Pública,499.9
M,0,Pública,501.02
M,0.1521,Pública,502.1
M,0.3548,Pública,504.5
F,0,Pública,504.52
M,0.4463,Particular,504.59
M,0.3131,Pública,505.34
M,0.3723,Pública,506.93
M,0.4352,Pública,507.38
F,0.6641,Pública,510.24
M,0.3139,Pública,510.41
F,0.2964,Pública,511.04
M,0.0644,Pública,511.16
M,0.8271,Pública,513.09
M,0.1222,Particular,513.58
F,0.4627,Particular,513.96
M,0.3368,Particular,514.49
M,0.31,Particular,514.49
M,0.0648,Pública,516.58
M,0.2707,Particular,517.94
M,0.2971,Pública,518.22
M,0.3931,Pública,518.28
M,0.4316,Pública,518.42
F,0.4896,Pública,519.19
M,0,Particular,519.38
M,0.1619,Pública,519.68
M,0.0988,Pública,520.89
M,0,Particular,520.91
M,0.5358,Pública,521.06
M,0.3951,Pública,521.19
M,0.0185,Particular,521.22
F,0,Pública,521.88
M,0.6534,Pública,522.32
M,0.0156,Pública,522.54
M,0.2914,Particular,522.8
M,0.6236,Particular,524.03
M,0,Particular,524.27
M,0.2533,Pública,524.42
M,0.2172,Pública,524.69
M,0.4223,Pública,524.79
M,0.515,Pública,525.82
M,0.6043,Pública,526.97
M,0.4635,Pública,527.87
M,0,Particular,527.99
M,0.1015,Particular,528.04
M,0.3017,Pública,528.33
M,0,Pública,529.07
M,0.1508,Pública,529.37
M,0,Pública,529.83
M,0.377,Particular,530.57
M,0.137,Pública,531.42
M,0,Pública,532.5
M,0.0697,Particular,533.17
M,0.2671,Particular,533.78
M,0.1364,Pública,534.98
M,0.2156,Pública,535.23
F,0.3933,Pública,535.77
M,0.0244,Particular,536.43
M,0.4748,Pública,536.6
M,0.402,Particular,537.6
M,0,Pública,538.32
M,0,Particular,538.52
M,0.0459,Pública,539.4
M,0.1367,Pública,540.3
M,0,Pública,540.42
M,0.728,Pública,540.54
M,0.4857,Pública,540.58
M,0.777,Pública,540.91
M,0,Pública,542.47
M,0,Pública,542.47
M,0.2333,Pública,542.5
M,0.6618,Particular,543.12
F,0.71,Pública,543.28
M,0,Pública,544.78
M,0.4698,Particular,545.21
M,0.7542,Particular,545.36
M,0.593,Pública,546.14
F,0.5331,Pública,546.64
M,0.2201,Particular,547
M,0.3852,Particular,547.07
F,0.5778,Pública,551.22
M,0.1569,Particular,553.4
M,0.6081,Pública,553.61
M,0.334,Pública,554.4
M,0.1222,Particular,555.57
F,0.2521,Pública,555.58
M,0.7189,Pública,555.7
M,0.7749,Particular,556.1
M,0.4178,Particular,556.39
M,0.6144,Pública,557.4
M,0,Pública,558.28
M,0.185,Particular,558.46
M,0.6957,Pública,558.48
F,0.6813,Particular,558.89
F,0.4485,Pública,559.09
M,0.596,Pública,559.13
M,0,Pública,559.4
M,0.4792,Pública,559.57
M,0.0133,Particular,560.6
F,0.4205,Pública,560.86
M,0.155,Particular,561.94
M,0,Pública,562.31
M,0.2496,Pública,562.88
M,0.2474,Particular,563.16
M,0.1673,Pública,563.4
F,0.0972,Pública,563.82
M,0.7911,Particular,564.38
M,0,Pública,564.46
M,0.6126,Particular,564.47
M,0,Particular,564.51
F,0.0148,Pública,566.48
M,0.3307,Particular,567.9
